date,version,price,sales,comp_price_idx,sent_pos,price_bad_ratio,promotion_flag,memory,storage
2024-05,0,5499,250000,4200,0.99,0.0,0,12,256
2024-05,1,6499,300000,5350,1.0,0.0,0,12,256
2024-06,0,5499,400000,3900,0.98,0.0,1,12,256
2024-06,1,6499,400000,5000,0.99,0.0,1,12,256
2024-07,0,5200,500000,4200,0.98,0.2,0,12,256
2024-07,1,6100,300000,5350,0.99,0.3,0,12,256
2024-08,0,5000,400000,4200,0.98,0.1,0,12,256
2024-08,1,6000,250000,5350,0.99,0.2,0,12,256
2024-09,0,4800,400000,4200,0.98,0.1,0,12,256
2024-09,1,5800,200000,5350,0.99,0.1,0,12,256
2024-10,0,4500,700000,4200,0.97,0.05,0,12,256
2024-10,1,5200,400000,5350,0.98,0.1,0,12,256
2024-11,0,4300,800000,3800,0.97,0.1,1,12,256
2024-11,1,5000,400000,4900,0.98,0.1,1,12,256
2024-12,0,4200,700000,3900,0.97,0.0,0,12,256
2024-12,1,4800,400000,5000,0.98,0.0,0,12,256
2025-01,0,4500,250000,4200,0.97,0.0,0,12,256
2025-01,1,5200,150000,5350,0.98,0.0,0,12,256
2025-02,0,4300,180000,4200,0.96,0.0,0,12,256
2025-02,1,5000,50000,5350,0.97,0.0,0,12,256
2025-03,0,4000,250000,4200,0.96,0.0,0,12,256
2025-03,1,4900,150000,5350,0.97,0.0,0,12,256
2025-04,0,4000,350000,4200,0.96,0.0,0,12,256
2025-04,1,4800,150000,5350,0.97,0.0,0,12,256
