month,version,price,sales,comp_price_idx,sent_pos,price_bad_ratio,promotion_flag,memory,storage
2024-05,0,5499.0,23.01,4087.5,3.945,0.0,1.5,12.0,256.0
2024-05,4,6499.0,27.62,5218.75,3.985,0.0,1.5,12.0,256.0
2024-06,0,5386.875,36.82,4012.5,3.92,0.075,2.5,12.0,256.0
2024-06,4,6349.375,36.82,5131.25,3.96,0.1125,2.5,12.0,256.0
2024-07,0,5120.0,57.54,4200.0,4.9,0.16,0.0,12.0,256.0
2024-07,5,6060.0,34.52,5350.0,4.95,0.26,0.0,12.0,256.0
2024-08,0,4925.0,36.82,4200.0,3.92,0.1,0.0,12.0,256.0
2024-08,4,5925.0,23.01,5350.0,3.96,0.1625,0.0,12.0,256.0
2024-09,0,4680.0,46.03,4200.0,4.88,0.08,0.0,12.0,256.0
2024-09,5,5560.0,23.01,5350.0,4.93,0.1,0.0,12.0,256.0
2024-10,0,4425.0,64.44,4050.0,3.88,0.06875,1.5,12.0,256.0
2024-10,4,5125.0,36.82,5181.25,3.92,0.1,1.5,12.0,256.0
2024-11,0,4262.5,73.65,3837.5,3.88,0.0625,2.5,12.0,256.0
2024-11,4,4925.0,36.82,4937.5,3.92,0.0625,2.5,12.0,256.0
2024-12,0,4320.0,80.55,4020.0,4.85,0.0,0.0,12.0,256.0
2024-12,5,4960.0,46.03,5140.0,4.9,0.0,0.0,12.0,256.0
2025-01,0,4425.0,23.01,4200.0,3.865,0.0,0.0,12.0,256.0
2025-01,4,5125.0,13.81,5350.0,3.905,0.0,0.0,12.0,256.0
2025-02,0,4187.5,16.57,4200.0,3.84,0.0,0.0,12.0,256.0
2025-02,4,4962.5,4.6,5350.0,3.88,0.0,0.0,12.0,256.0
2025-03,0,4000.0,28.77,4200.0,4.8,0.0,0.0,12.0,256.0
2025-03,5,4860.0,17.26,5350.0,4.85,0.0,0.0,12.0,256.0
2025-04,0,4000.0,8.06,4200.0,0.96,0.0,0.0,12.0,256.0
2025-04,1,4800.0,3.45,5350.0,0.97,0.0,0.0,12.0,256.0
